Date,Product,Model,Forecast,Actual
2024-12-27,Sunscreen,XGBoost,19,20
2024-12-27,Travel_Antidiarrheal,XGBoost,19,20
2024-12-28,ORS_Solution,XGBoost,76,69
2024-12-28,Paracetamol_500mg,XGBoost,55,45
2024-12-28,Antibiotic_A,XGBoost,26,28
2024-12-28,Sunscreen,XGBoost,14,13
2024-12-28,Travel_Antidiarrheal,XGBoost,14,13
2024-12-29,ORS_Solution,XGBoost,76,80
2024-12-29,Paracetamol_500mg,XGBoost,37,57
2024-12-29,Antibiotic_A,XGBoost,26,32
2024-12-29,Sunscreen,XGBoost,14,22
2024-12-29,Travel_Antidiarrheal,XGBoost,14,22
2024-12-30,ORS_Solution,XGBoost,65,78
2024-12-30,Paracetamol_500mg,XGBoost,39,41
2024-12-30,Antibiotic_A,XGBoost,25,33
2024-12-30,Sunscreen,XGBoost,21,25
2024-12-30,Travel_Antidiarrheal,XGBoost,21,25
