Date,Product,Model,Forecast,Actual
2024-12-15,Cough_Syrup,ARIMA,15.255755315120268,16
2024-12-16,Cough_Syrup,ARIMA,19.714664965100887,32
2024-12-17,Cough_Syrup,ARIMA,24.477338208283207,22
2024-12-18,Cough_Syrup,ARIMA,25.958554118532934,25
2024-12-19,Cough_Syrup,ARIMA,23.04433731277691,20
2024-12-20,Cough_Syrup,ARIMA,17.92974231820202,18
2024-12-21,Cough_Syrup,ARIMA,14.465489016270595,13
2024-12-22,Cough_Syrup,ARIMA,15.258800141970111,16
2024-12-23,Cough_Syrup,ARIMA,19.71118655766665,19
2024-12-24,Cough_Syrup,ARIMA,24.469956997142184,26
2024-12-25,Cough_Syrup,ARIMA,25.95282759690207,27
2024-12-26,Cough_Syrup,ARIMA,23.044575642999597,21
2024-12-27,Cough_Syrup,ARIMA,17.93576424433356,17
2024-12-28,Cough_Syrup,ARIMA,14.472759707975808,13
2024-12-29,Cough_Syrup,ARIMA,15.261846161491546,12
2024-12-30,Cough_Syrup,ARIMA,19.70771630820818,19
2024-12-01,Vitamin_C,ARIMA,34.44982348760032,35
2024-12-02,Vitamin_C,ARIMA,36.29651432497664,35
2024-12-03,Vitamin_C,ARIMA,37.99765105727142,39
2024-12-04,Vitamin_C,ARIMA,38.360623398213676,42
2024-12-05,Vitamin_C,ARIMA,37.24448953142287,39
2024-12-06,Vitamin_C,ARIMA,35.88313239906532,36
2024-12-07,Vitamin_C,ARIMA,34.821710345104314,37
2024-12-08,Vitamin_C,ARIMA,35.33948344412008,32
2024-12-09,Vitamin_C,ARIMA,36.18101808645451,39
2024-12-10,Vitamin_C,ARIMA,37.15746234569319,41
2024-12-11,Vitamin_C,ARIMA,37.27977111636629,32
2024-12-12,Vitamin_C,ARIMA,36.8379585277657,37
2024-12-13,Vitamin_C,ARIMA,36.03447189538689,36
2024-12-14,Vitamin_C,ARIMA,35.66517208708233,36
2024-12-15,Vitamin_C,ARIMA,35.726334601032576,35
2024-12-16,Vitamin_C,ARIMA,36.273942860623606,48
2024-12-17,Vitamin_C,ARIMA,36.67502118640011,41
2024-12-18,Vitamin_C,ARIMA,36.83583943340138,40
2024-12-19,Vitamin_C,ARIMA,36.55563100413449,38
2024-12-20,Vitamin_C,ARIMA,36.22025335820493,35
2024-12-21,Vitamin_C,ARIMA,35.96592104695477,35
2024-12-22,Vitamin_C,ARIMA,36.0435374987749,36
2024-12-23,Vitamin_C,ARIMA,36.25704687282151,37
2024-12-24,Vitamin_C,ARIMA,36.512001413474074,42
2024-12-25,Vitamin_C,ARIMA,36.55720200254012,42
2024-12-26,Vitamin_C,ARIMA,36.462578910255,38
2024-12-27,Vitamin_C,ARIMA,36.2608354952872,36
2024-12-28,Vitamin_C,ARIMA,36.160033598744214,36
2024-12-29,Vitamin_C,ARIMA,36.16497380650839,38
2024-12-30,Vitamin_C,ARIMA,36.294537948925246,38
2024-12-01,ORS_Solution,ARIMA,7.28373476756715,7
2024-12-02,ORS_Solution,ARIMA,8.071707996029604,6
2024-12-03,ORS_Solution,ARIMA,8.749375375585458,7
2024-12-04,ORS_Solution,ARIMA,8.806137549283575,11
2024-12-05,ORS_Solution,ARIMA,8.19941171328951,5
2024-12-06,ORS_Solution,ARIMA,7.3865764300189,9
2024-12-07,ORS_Solution,ARIMA,6.9801781500821685,7
2024-12-08,ORS_Solution,ARIMA,7.286320940498275,10
2024-12-09,ORS_Solution,ARIMA,8.074105317594615,5
2024-12-10,ORS_Solution,ARIMA,8.749777484307407,8
2024-12-11,ORS_Solution,ARIMA,8.804242055344318,9
2024-12-12,ORS_Solution,ARIMA,8.196647597648107,14
2024-12-13,ORS_Solution,ARIMA,7.38502675996034,5
2024-12-14,ORS_Solution,ARIMA,6.98101025745745,7
2024-12-15,ORS_Solution,ARIMA,7.288907096986878,8
2024-12-16,ORS_Solution,ARIMA,8.076496282257814,6
2024-12-17,ORS_Solution,ARIMA,8.750171687615365,10
2024-12-18,ORS_Solution,ARIMA,8.802343064800038,13
2024-12-19,ORS_Solution,ARIMA,8.193887027618915,11
2024-12-20,ORS_Solution,ARIMA,7.383485003921285,12
2024-12-21,ORS_Solution,ARIMA,6.981848682598505,10
2024-12-22,ORS_Solution,ARIMA,7.29149321493785,6
2024-12-23,ORS_Solution,ARIMA,8.078880883047045,7
2024-12-24,ORS_Solution,ARIMA,8.75055799890917,8
2024-12-25,ORS_Solution,ARIMA,8.800440601319394,5
2024-12-26,ORS_Solution,ARIMA,8.19113001930161,13
2024-12-27,ORS_Solution,ARIMA,7.381951158303368,6
2024-12-28,ORS_Solution,ARIMA,6.982693404926321,8
2024-12-29,ORS_Solution,ARIMA,7.294079272303288,8
2024-12-30,ORS_Solution,ARIMA,8.081259113059396,7
2024-12-01,Antibiotic_A,ARIMA,21.528190507246034,22
2024-12-02,Antibiotic_A,ARIMA,22.55895123825085,20
2024-12-03,Antibiotic_A,ARIMA,23.489988378332782,26
2024-12-04,Antibiotic_A,ARIMA,23.920916268418726,27
2024-12-05,Antibiotic_A,ARIMA,24.316447620847136,21
2024-12-06,Antibiotic_A,ARIMA,23.509866954525712,23
2024-12-07,Antibiotic_A,ARIMA,22.806936607548412,19
2024-12-08,Antibiotic_A,ARIMA,22.74159240465996,22
2024-12-09,Antibiotic_A,ARIMA,22.617786476394063,26
2024-12-10,Antibiotic_A,ARIMA,23.113995938056178,26
2024-12-11,Antibiotic_A,ARIMA,23.77966377195779,28
2024-12-12,Antibiotic_A,ARIMA,23.55595986448974,25
2024-12-13,Antibiotic_A,ARIMA,23.365724183561166,23
2024-12-14,Antibiotic_A,ARIMA,23.21579781192492,21
2024-12-15,Antibiotic_A,ARIMA,22.910453558221516,23
2024-12-16,Antibiotic_A,ARIMA,22.974118030484437,25
2024-12-17,Antibiotic_A,ARIMA,23.240264398949684,22
2024-12-18,Antibiotic_A,ARIMA,23.324645910596896,23
2024-12-19,Antibiotic_A,ARIMA,23.38746199604309,21
2024-12-20,Antibiotic_A,ARIMA,23.369857338323015,25
2024-12-21,Antibiotic_A,ARIMA,23.184258081541362,25
2024-12-22,Antibiotic_A,ARIMA,23.100299851475715,20
2024-12-23,Antibiotic_A,ARIMA,23.153773650984736,24
2024-12-24,Antibiotic_A,ARIMA,23.183340548506543,23
2024-12-25,Antibiotic_A,ARIMA,23.25744105446862,23
2024-12-26,Antibiotic_A,ARIMA,23.32157784888419,23
2024-12-27,Antibiotic_A,ARIMA,23.269553920074532,22
2024-12-28,Antibiotic_A,ARIMA,23.216927530634624,18
2024-12-29,Antibiotic_A,ARIMA,23.199160892547802,22
2024-12-30,Antibiotic_A,ARIMA,23.175737351467234,22
