Date,Product,Model,Forecast,Actual
2024-12-02,Antibiotic_A,LSTM,55.380554,60
2024-12-03,Antibiotic_A,LSTM,55.755764,59
2024-12-04,Antibiotic_A,LSTM,56.34738,60
2024-12-05,Antibiotic_A,LSTM,56.537052,58
2024-12-06,Antibiotic_A,LSTM,56.62322,58
2024-12-07,Antibiotic_A,LSTM,56.54187,48
2024-12-08,Antibiotic_A,LSTM,56.602715,59
2024-12-09,Antibiotic_A,LSTM,65.61158,57
2024-12-10,Antibiotic_A,LSTM,71.394554,64
2024-12-11,Antibiotic_A,LSTM,71.111244,65
2024-12-12,Antibiotic_A,LSTM,67.96745,61
2024-12-13,Antibiotic_A,LSTM,64.77777,54
2024-12-14,Antibiotic_A,LSTM,62.544273,57
2024-12-15,Antibiotic_A,LSTM,61.446587,53
2024-12-16,Antibiotic_A,LSTM,60.997707,56
2024-12-17,Antibiotic_A,LSTM,56.17965,65
2024-12-18,Antibiotic_A,LSTM,54.780945,64
2024-12-19,Antibiotic_A,LSTM,54.63643,65
2024-12-20,Antibiotic_A,LSTM,54.606293,57
2024-12-21,Antibiotic_A,LSTM,54.53689,52
2024-12-22,Antibiotic_A,LSTM,61.45903,56
2024-12-23,Antibiotic_A,LSTM,67.42157,58
2024-12-24,Antibiotic_A,LSTM,68.164635,61
2024-12-25,Antibiotic_A,LSTM,65.95553,67
2024-12-26,Antibiotic_A,LSTM,63.311626,67
2024-12-27,Antibiotic_A,LSTM,55.427002,57
2024-12-28,Antibiotic_A,LSTM,53.323826,52
2024-12-29,Antibiotic_A,LSTM,52.885834,56
2024-12-30,Antibiotic_A,LSTM,52.819374,62
2024-12-01,Insulin_Supplies,LSTM,55.108994,56
2024-12-02,Insulin_Supplies,LSTM,57.27044,59
2024-12-03,Insulin_Supplies,LSTM,59.2517,60
2024-12-04,Insulin_Supplies,LSTM,71.46227,64
2024-12-05,Insulin_Supplies,LSTM,78.269936,60
2024-12-06,Insulin_Supplies,LSTM,75.61144,55
2024-12-07,Insulin_Supplies,LSTM,61.505627,51
2024-12-08,Insulin_Supplies,LSTM,53.28067,48
2024-12-09,Insulin_Supplies,LSTM,51.269104,62
2024-12-10,Insulin_Supplies,LSTM,53.852013,63
2024-12-11,Insulin_Supplies,LSTM,58.514904,59
2024-12-12,Insulin_Supplies,LSTM,61.91641,63
2024-12-13,Insulin_Supplies,LSTM,62.37023,74
2024-12-14,Insulin_Supplies,LSTM,60.434868,75
2024-12-15,Insulin_Supplies,LSTM,57.95813,67
2024-12-16,Insulin_Supplies,LSTM,56.403526,69
2024-12-17,Insulin_Supplies,LSTM,56.27308,77
2024-12-18,Insulin_Supplies,LSTM,57.287426,84
2024-12-19,Insulin_Supplies,LSTM,58.648968,69
2024-12-20,Insulin_Supplies,LSTM,59.576363,65
2024-12-21,Insulin_Supplies,LSTM,59.7095,49
2024-12-22,Insulin_Supplies,LSTM,70.32472,55
2024-12-23,Insulin_Supplies,LSTM,76.91501,54
2024-12-24,Insulin_Supplies,LSTM,75.447845,65
2024-12-25,Insulin_Supplies,LSTM,70.55686,68
2024-12-26,Insulin_Supplies,LSTM,66.82243,66
2024-12-27,Insulin_Supplies,LSTM,66.069855,58
2024-12-28,Insulin_Supplies,LSTM,67.669014,49
2024-12-29,Insulin_Supplies,LSTM,69.634865,56
2024-12-30,Insulin_Supplies,LSTM,61.903362,61
2024-12-01,PainRelief_Gel,LSTM,58.40497,51
2024-12-02,PainRelief_Gel,LSTM,59.404396,58
2024-12-03,PainRelief_Gel,LSTM,59.69169,57
2024-12-04,PainRelief_Gel,LSTM,59.62527,65
2024-12-05,PainRelief_Gel,LSTM,59.477245,58
2024-12-06,PainRelief_Gel,LSTM,59.405266,55
2024-12-07,PainRelief_Gel,LSTM,86.52377,49
2024-12-08,PainRelief_Gel,LSTM,91.38904,54
2024-12-09,PainRelief_Gel,LSTM,86.00658,57
2024-12-10,PainRelief_Gel,LSTM,61.057377,62
2024-12-11,PainRelief_Gel,LSTM,57.334805,67
2024-12-12,PainRelief_Gel,LSTM,56.8233,61
2024-12-13,PainRelief_Gel,LSTM,82.10574,54
2024-12-14,PainRelief_Gel,LSTM,88.39701,51
2024-12-15,PainRelief_Gel,LSTM,84.30288,56
2024-12-16,PainRelief_Gel,LSTM,60.040024,63
2024-12-17,PainRelief_Gel,LSTM,56.251972,63
2024-12-18,PainRelief_Gel,LSTM,55.47901,66
2024-12-19,PainRelief_Gel,LSTM,55.926495,63
2024-12-20,PainRelief_Gel,LSTM,56.676704,61
2024-12-21,PainRelief_Gel,LSTM,57.25891,69
2024-12-22,PainRelief_Gel,LSTM,83.25034,94
2024-12-23,PainRelief_Gel,LSTM,88.584496,96
2024-12-24,PainRelief_Gel,LSTM,62.27058,86
2024-12-25,PainRelief_Gel,LSTM,56.820694,95
2024-12-26,PainRelief_Gel,LSTM,55.7295,102
2024-12-27,PainRelief_Gel,LSTM,56.338284,55
2024-12-28,PainRelief_Gel,LSTM,57.27952,53
2024-12-29,PainRelief_Gel,LSTM,58.04556,57
2024-12-30,PainRelief_Gel,LSTM,58.549736,63
