date,product,sales,promotion,holiday
2022-03-21,Paracetamol_500mg,58,0,0
2022-03-22,Paracetamol_500mg,82,0,0
2022-03-23,Paracetamol_500mg,59,0,0
2022-03-24,Paracetamol_500mg,74,0,0
2022-03-25,Paracetamol_500mg,68,0,0
2022-03-26,Paracetamol_500mg,52,0,0
2022-03-27,Paracetamol_500mg,62,0,0
2022-03-28,Paracetamol_500mg,73,0,0
2022-03-29,Paracetamol_500mg,77,1,0
2022-03-30,Paracetamol_500mg,86,1,0
2022-03-31,Paracetamol_500mg,90,1,0
2022-04-01,Paracetamol_500mg,83,1,0
2022-04-02,Paracetamol_500mg,93,1,0
2022-04-03,Paracetamol_500mg,75,1,0
2022-04-04,Paracetamol_500mg,72,1,0
2022-04-05,Paracetamol_500mg,63,0,0
2022-04-06,Paracetamol_500mg,75,0,0
2022-04-07,Paracetamol_500mg,67,0,0
2022-04-08,Paracetamol_500mg,66,0,0
2022-04-09,Paracetamol_500mg,67,0,0
2022-04-10,Paracetamol_500mg,77,1,0
2022-04-11,Paracetamol_500mg,78,1,0
2022-04-12,Paracetamol_500mg,84,1,0
2022-04-13,Paracetamol_500mg,83,1,0
2022-04-14,Paracetamol_500mg,90,1,0
2022-04-15,Paracetamol_500mg,72,1,0
2022-04-16,Paracetamol_500mg,66,1,0
2022-04-17,Paracetamol_500mg,81,1,0
2022-04-18,Paracetamol_500mg,69,1,0
2022-04-19,Paracetamol_500mg,91,1,0
2022-04-20,Paracetamol_500mg,92,1,0
2022-04-21,Paracetamol_500mg,86,1,0
2022-04-22,Paracetamol_500mg,65,1,0
2022-04-23,Paracetamol_500mg,73,1,0
2022-04-24,Paracetamol_500mg,66,0,0
2022-04-25,Paracetamol_500mg,61,0,0
2022-04-26,Paracetamol_500mg,79,0,0
2022-04-27,Paracetamol_500mg,60,0,0
2022-04-28,Paracetamol_500mg,76,0,0
2022-04-29,Paracetamol_500mg,58,0,0
2022-04-30,Paracetamol_500mg,54,0,0
2022-05-01,Paracetamol_500mg,62,0,0
2022-05-02,Paracetamol_500mg,82,1,0
2022-05-03,Paracetamol_500mg,86,1,0
2022-05-04,Paracetamol_500mg,82,1,0
2022-05-05,Paracetamol_500mg,78,1,0
2022-05-06,Paracetamol_500mg,83,1,0
2022-05-07,Paracetamol_500mg,56,0,0
2022-05-08,Paracetamol_500mg,65,0,0
2022-05-09,Paracetamol_500mg,53,0,0
2022-05-10,Paracetamol_500mg,65,0,0
2022-05-11,Paracetamol_500mg,68,0,0
2022-05-12,Paracetamol_500mg,70,0,0
2022-05-13,Paracetamol_500mg,59,0,0
2022-05-14,Paracetamol_500mg,58,0,0
2022-05-15,Paracetamol_500mg,70,0,0
2022-05-16,Paracetamol_500mg,78,0,0
2022-05-17,Paracetamol_500mg,60,0,0
2022-05-18,Paracetamol_500mg,84,0,0
2022-05-19,Paracetamol_500mg,75,0,0
2022-05-20,Paracetamol_500mg,61,0,0
2022-05-21,Paracetamol_500mg,61,0,0
2022-05-22,Paracetamol_500mg,66,0,0
2022-05-23,Paracetamol_500mg,66,0,0
2022-05-24,Paracetamol_500mg,60,0,0
2022-05-25,Paracetamol_500mg,77,0,0
2022-05-26,Paracetamol_500mg,58,0,0
2022-05-27,Paracetamol_500mg,63,0,0
2022-05-28,Paracetamol_500mg,48,0,0
2022-05-29,Paracetamol_500mg,52,0,0
2022-05-30,Paracetamol_500mg,91,1,0
2022-05-31,Paracetamol_500mg,84,1,0
2022-06-01,Paracetamol_500mg,77,1,0
2022-06-02,Paracetamol_500mg,83,1,0
2022-06-03,Paracetamol_500mg,99,1,0
2022-06-04,Paracetamol_500mg,63,1,0
2022-06-05,Paracetamol_500mg,76,1,0
2022-06-06,Paracetamol_500mg,67,0,0
2022-06-07,Paracetamol_500mg,54,0,0
2022-06-08,Paracetamol_500mg,72,0,0
2022-06-09,Paracetamol_500mg,58,0,0
2022-06-10,Paracetamol_500mg,57,0,0
2022-06-11,Paracetamol_500mg,69,0,0
2022-06-12,Paracetamol_500mg,50,0,0
2022-06-13,Paracetamol_500mg,50,0,0
2022-06-14,Paracetamol_500mg,74,0,0
2022-06-15,Paracetamol_500mg,66,0,0
2022-06-16,Paracetamol_500mg,75,0,0
2022-06-17,Paracetamol_500mg,62,0,0
2022-06-18,Paracetamol_500mg,54,0,0
2022-06-19,Paracetamol_500mg,67,0,0
2022-06-20,Paracetamol_500mg,60,0,0
2022-06-21,Paracetamol_500mg,65,0,0
2022-06-22,Paracetamol_500mg,68,0,0
2022-06-23,Paracetamol_500mg,72,0,0
2022-06-24,Paracetamol_500mg,50,0,0
2022-06-25,Paracetamol_500mg,65,0,0
2022-06-26,Paracetamol_500mg,58,0,0
2022-06-27,Paracetamol_500mg,67,0,0
2022-06-28,Paracetamol_500mg,73,0,0
2022-06-29,Paracetamol_500mg,60,0,0
2022-06-30,Paracetamol_500mg,75,0,0
2022-07-01,Paracetamol_500mg,48,0,0
2022-07-02,Paracetamol_500mg,56,0,0
2022-07-03,Paracetamol_500mg,52,0,0
2022-07-04,Paracetamol_500mg,70,0,0
2022-07-05,Paracetamol_500mg,56,0,0
2022-07-06,Paracetamol_500mg,61,0,0
2022-07-07,Paracetamol_500mg,61,0,0
2022-07-08,Paracetamol_500mg,60,0,0
2022-07-09,Paracetamol_500mg,49,0,0
2022-07-10,Paracetamol_500mg,64,0,0
2022-07-11,Paracetamol_500mg,82,1,0
2022-07-12,Paracetamol_500mg,102,1,0
2022-07-13,Paracetamol_500mg,97,1,0
2022-07-14,Paracetamol_500mg,78,1,0
2022-07-15,Paracetamol_500mg,90,1,0
2022-07-16,Paracetamol_500mg,74,1,0
2022-07-17,Paracetamol_500mg,56,0,0
2022-07-18,Paracetamol_500mg,48,0,0
2022-07-19,Paracetamol_500mg,70,0,0
2022-07-20,Paracetamol_500mg,68,0,0
2022-07-21,Paracetamol_500mg,65,0,0
2022-07-22,Paracetamol_500mg,48,0,0
2022-07-23,Paracetamol_500mg,55,0,0
2022-07-24,Paracetamol_500mg,61,0,0
2022-07-25,Paracetamol_500mg,53,0,0
2022-07-26,Paracetamol_500mg,59,0,0
2022-07-27,Paracetamol_500mg,60,0,0
2022-07-28,Paracetamol_500mg,61,0,0
2022-07-29,Paracetamol_500mg,54,0,0
2022-07-30,Paracetamol_500mg,51,0,0
2022-07-31,Paracetamol_500mg,66,0,0
2022-08-01,Paracetamol_500mg,60,0,0
2022-08-02,Paracetamol_500mg,60,0,0
2022-08-03,Paracetamol_500mg,94,1,0
2022-08-04,Paracetamol_500mg,72,1,0
2022-08-05,Paracetamol_500mg,61,1,0
2022-08-06,Paracetamol_500mg,63,1,0
2022-08-07,Paracetamol_500mg,61,1,0
2022-08-08,Paracetamol_500mg,52,0,0
2022-08-09,Paracetamol_500mg,43,0,0
2022-08-10,Paracetamol_500mg,63,0,0
2022-08-11,Paracetamol_500mg,69,0,0
2022-08-12,Paracetamol_500mg,49,0,0
2022-08-13,Paracetamol_500mg,63,0,0
2022-08-14,Paracetamol_500mg,53,0,0
2022-08-15,Paracetamol_500mg,65,0,0
2022-08-16,Paracetamol_500mg,72,0,0
2022-08-17,Paracetamol_500mg,75,0,0
2022-08-18,Paracetamol_500mg,55,0,0
2022-08-19,Paracetamol_500mg,58,0,0
2022-08-20,Paracetamol_500mg,51,0,0
2022-08-21,Paracetamol_500mg,50,0,0
2022-08-22,Paracetamol_500mg,66,0,0
2022-08-23,Paracetamol_500mg,54,0,0
2022-08-24,Paracetamol_500mg,56,0,0
2022-08-25,Paracetamol_500mg,55,0,0
2022-08-26,Paracetamol_500mg,53,0,0
2022-08-27,Paracetamol_500mg,48,0,0
2022-08-28,Paracetamol_500mg,63,0,0
2022-08-29,Paracetamol_500mg,72,0,0
2022-08-30,Paracetamol_500mg,56,0,0
2022-08-31,Paracetamol_500mg,75,0,0
2022-09-01,Paracetamol_500mg,60,0,0
2022-09-02,Paracetamol_500mg,56,0,0
2022-09-03,Paracetamol_500mg,51,0,0
2022-09-04,Paracetamol_500mg,47,0,0
2022-09-05,Paracetamol_500mg,55,0,0
2022-09-06,Paracetamol_500mg,52,0,0
2022-09-07,Paracetamol_500mg,53,0,0
2022-09-08,Paracetamol_500mg,63,0,0
2022-09-09,Paracetamol_500mg,49,0,0
2022-09-10,Paracetamol_500mg,70,1,0
2022-09-11,Paracetamol_500mg,58,1,0
2022-09-12,Paracetamol_500mg,85,1,0
2022-09-13,Paracetamol_500mg,74,1,0
2022-09-14,Paracetamol_500mg,82,1,0
2022-09-15,Paracetamol_500mg,73,1,0
2022-09-16,Paracetamol_500mg,70,1,0
2022-09-17,Paracetamol_500mg,59,1,0
2022-09-18,Paracetamol_500mg,86,1,0
2022-09-19,Paracetamol_500mg,72,1,0
2022-09-20,Paracetamol_500mg,79,1,0
2022-09-21,Paracetamol_500mg,72,0,0
2022-09-22,Paracetamol_500mg,55,0,0
2022-09-23,Paracetamol_500mg,58,0,0
2022-09-24,Paracetamol_500mg,45,0,0
2022-09-25,Paracetamol_500mg,44,0,0
2022-09-26,Paracetamol_500mg,49,0,0
2022-09-27,Paracetamol_500mg,60,0,0
2022-09-28,Paracetamol_500mg,69,0,0
2022-09-29,Paracetamol_500mg,61,0,0
2022-09-30,Paracetamol_500mg,57,0,0
2022-10-01,Paracetamol_500mg,43,0,0
2022-10-02,Paracetamol_500mg,61,0,0
2022-10-03,Paracetamol_500mg,52,0,0
2022-10-04,Paracetamol_500mg,72,1,0
2022-10-05,Paracetamol_500mg,75,1,0
2022-10-06,Paracetamol_500mg,66,1,0
2022-10-07,Paracetamol_500mg,50,0,0
2022-10-08,Paracetamol_500mg,40,0,0
2022-10-09,Paracetamol_500mg,68,0,0
2022-10-10,Paracetamol_500mg,54,0,0
2022-10-11,Paracetamol_500mg,62,0,0
2022-10-12,Paracetamol_500mg,74,0,0
2022-10-13,Paracetamol_500mg,67,0,0
2022-10-14,Paracetamol_500mg,50,0,0
2022-10-15,Paracetamol_500mg,46,0,0
2022-10-16,Paracetamol_500mg,56,0,0
2022-10-17,Paracetamol_500mg,45,0,0
2022-10-18,Paracetamol_500mg,68,0,0
2022-10-19,Paracetamol_500mg,63,0,0
2022-10-20,Paracetamol_500mg,56,0,0
2022-10-21,Paracetamol_500mg,70,1,0
2022-10-22,Paracetamol_500mg,76,1,0
2022-10-23,Paracetamol_500mg,63,1,0
2022-10-24,Paracetamol_500mg,66,1,0
2022-10-25,Paracetamol_500mg,68,0,0
2022-10-26,Paracetamol_500mg,51,0,0
2022-10-27,Paracetamol_500mg,60,0,0
2022-10-28,Paracetamol_500mg,50,0,0
2022-10-29,Paracetamol_500mg,50,0,0
2022-10-30,Paracetamol_500mg,55,0,0
2022-10-31,Paracetamol_500mg,62,0,0
2022-11-01,Paracetamol_500mg,57,0,0
2022-11-02,Paracetamol_500mg,54,0,0
2022-11-03,Paracetamol_500mg,64,0,0
2022-11-04,Paracetamol_500mg,51,0,0
2022-11-05,Paracetamol_500mg,61,0,0
2022-11-06,Paracetamol_500mg,58,0,0
2022-11-07,Paracetamol_500mg,68,0,0
2022-11-08,Paracetamol_500mg,69,0,0
2022-11-09,Paracetamol_500mg,56,0,0
2022-11-10,Paracetamol_500mg,91,1,0
2022-11-11,Paracetamol_500mg,77,1,0
2022-11-12,Paracetamol_500mg,85,1,0
2022-11-13,Paracetamol_500mg,67,1,0
2022-11-14,Paracetamol_500mg,61,1,0
2022-11-15,Paracetamol_500mg,92,1,0
2022-11-16,Paracetamol_500mg,92,1,0
2022-11-17,Paracetamol_500mg,83,1,0
2022-11-18,Paracetamol_500mg,57,0,0
2022-11-19,Paracetamol_500mg,56,0,0
2022-11-20,Paracetamol_500mg,62,0,0
2022-11-21,Paracetamol_500mg,69,0,0
2022-11-22,Paracetamol_500mg,66,0,0
2022-11-23,Paracetamol_500mg,62,0,0
2022-11-24,Paracetamol_500mg,56,0,0
2022-11-25,Paracetamol_500mg,64,0,0
2022-11-26,Paracetamol_500mg,61,0,0
2022-11-27,Paracetamol_500mg,70,0,0
2022-11-28,Paracetamol_500mg,67,0,0
2022-11-29,Paracetamol_500mg,61,0,0
2022-11-30,Paracetamol_500mg,66,0,0
2022-12-01,Paracetamol_500mg,59,0,0
2022-12-02,Paracetamol_500mg,59,0,0
2022-12-03,Paracetamol_500mg,67,0,0
2022-12-04,Paracetamol_500mg,45,0,0
2022-12-05,Paracetamol_500mg,55,0,0
2022-12-06,Paracetamol_500mg,63,0,0
2022-12-07,Paracetamol_500mg,67,0,0
2022-12-08,Paracetamol_500mg,54,0,0
2022-12-09,Paracetamol_500mg,47,0,0
2022-12-10,Paracetamol_500mg,57,0,0
2022-12-11,Paracetamol_500mg,64,0,0
2022-12-12,Paracetamol_500mg,74,0,0
2022-12-13,Paracetamol_500mg,73,0,0
2022-12-14,Paracetamol_500mg,64,0,0
2022-12-15,Paracetamol_500mg,76,1,0
2022-12-16,Paracetamol_500mg,62,1,0
2022-12-17,Paracetamol_500mg,69,1,0
2022-12-18,Paracetamol_500mg,78,1,0
2022-12-19,Paracetamol_500mg,80,1,0
2022-12-20,Paracetamol_500mg,96,1,0
2022-12-21,Paracetamol_500mg,66,1,0
2022-12-22,Paracetamol_500mg,84,1,0
2022-12-23,Paracetamol_500mg,78,1,0
2022-12-24,Paracetamol_500mg,51,0,0
2022-12-25,Paracetamol_500mg,57,0,0
2022-12-26,Paracetamol_500mg,58,0,0
2022-12-27,Paracetamol_500mg,75,0,0
2022-12-28,Paracetamol_500mg,71,0,0
2022-12-29,Paracetamol_500mg,63,0,0
2022-12-30,Paracetamol_500mg,69,0,0
2022-12-31,Paracetamol_500mg,53,0,0
2023-01-01,Paracetamol_500mg,54,0,0
2023-01-02,Paracetamol_500mg,64,0,0
2023-01-03,Paracetamol_500mg,65,0,0
2023-01-04,Paracetamol_500mg,77,0,0
2023-01-05,Paracetamol_500mg,53,0,0
2023-01-06,Paracetamol_500mg,51,0,0
2023-01-07,Paracetamol_500mg,61,0,0
2023-01-08,Paracetamol_500mg,68,0,0
2023-01-09,Paracetamol_500mg,53,0,0
2023-01-10,Paracetamol_500mg,73,0,0
2023-01-11,Paracetamol_500mg,65,0,0
2023-01-12,Paracetamol_500mg,67,0,0
2023-01-13,Paracetamol_500mg,56,0,0
2023-01-14,Paracetamol_500mg,96,1,0
2023-01-15,Paracetamol_500mg,84,1,0
2023-01-16,Paracetamol_500mg,68,1,0
2023-01-17,Paracetamol_500mg,100,1,0
2023-01-18,Paracetamol_500mg,79,0,0
2023-01-19,Paracetamol_500mg,62,0,0
2023-01-20,Paracetamol_500mg,60,0,0
2023-01-21,Paracetamol_500mg,75,1,0
2023-01-22,Paracetamol_500mg,71,1,0
2023-01-23,Paracetamol_500mg,77,1,0
2023-01-24,Paracetamol_500mg,66,0,0
2023-01-25,Paracetamol_500mg,57,0,0
2023-01-26,Paracetamol_500mg,71,0,0
2023-01-27,Paracetamol_500mg,56,0,0
2023-01-28,Paracetamol_500mg,58,0,0
2023-01-29,Paracetamol_500mg,65,0,0
2023-01-30,Paracetamol_500mg,66,0,0
2023-01-31,Paracetamol_500mg,73,0,0
2023-02-01,Paracetamol_500mg,56,0,0
2023-02-02,Paracetamol_500mg,63,0,0
2023-02-03,Paracetamol_500mg,60,0,0
2023-02-04,Paracetamol_500mg,67,0,0
2023-02-05,Paracetamol_500mg,50,0,0
2023-02-06,Paracetamol_500mg,72,0,0
2023-02-07,Paracetamol_500mg,66,0,0
2023-02-08,Paracetamol_500mg,81,0,0
2023-02-09,Paracetamol_500mg,66,0,0
2023-02-10,Paracetamol_500mg,54,0,0
2023-02-11,Paracetamol_500mg,63,0,0
2023-02-12,Paracetamol_500mg,64,0,0
2023-02-13,Paracetamol_500mg,76,0,0
2023-02-14,Paracetamol_500mg,82,0,0
2023-02-15,Paracetamol_500mg,61,0,0
2023-02-16,Paracetamol_500mg,64,0,0
2023-02-17,Paracetamol_500mg,58,0,0
2023-02-18,Paracetamol_500mg,50,0,0
2023-02-19,Paracetamol_500mg,56,0,0
2023-02-20,Paracetamol_500mg,76,1,0
2023-02-21,Paracetamol_500mg,83,1,0
2023-02-22,Paracetamol_500mg,95,1,0
2023-02-23,Paracetamol_500mg,97,1,0
2023-02-24,Paracetamol_500mg,80,1,0
2023-02-25,Paracetamol_500mg,77,1,0
2023-02-26,Paracetamol_500mg,71,1,0
2023-02-27,Paracetamol_500mg,86,1,0
2023-02-28,Paracetamol_500mg,82,1,0
2023-03-01,Paracetamol_500mg,84,1,0
2023-03-02,Paracetamol_500mg,91,1,0
2023-03-03,Paracetamol_500mg,79,1,0
2023-03-04,Paracetamol_500mg,80,1,0
2023-03-05,Paracetamol_500mg,69,1,0
2023-03-06,Paracetamol_500mg,85,1,0
2023-03-07,Paracetamol_500mg,73,1,0
2023-03-08,Paracetamol_500mg,85,1,0
2023-03-09,Paracetamol_500mg,84,0,0
2023-03-10,Paracetamol_500mg,68,0,0
2023-03-11,Paracetamol_500mg,57,0,0
2023-03-12,Paracetamol_500mg,62,0,0
2023-03-13,Paracetamol_500mg,76,0,0
2023-03-14,Paracetamol_500mg,70,0,0
2023-03-15,Paracetamol_500mg,72,0,0
2023-03-16,Paracetamol_500mg,74,0,0
2023-03-17,Paracetamol_500mg,63,0,0
2023-03-18,Paracetamol_500mg,70,0,0
2023-03-19,Paracetamol_500mg,55,0,0
2023-03-20,Paracetamol_500mg,63,0,0
2023-03-21,Paracetamol_500mg,75,0,0
2023-03-22,Paracetamol_500mg,65,0,0
2023-03-23,Paracetamol_500mg,78,0,0
2023-03-24,Paracetamol_500mg,73,0,0
2023-03-25,Paracetamol_500mg,73,0,0
2023-03-26,Paracetamol_500mg,74,0,0
2023-03-27,Paracetamol_500mg,74,0,0
2023-03-28,Paracetamol_500mg,72,0,0
2023-03-29,Paracetamol_500mg,85,0,0
2023-03-30,Paracetamol_500mg,70,1,0
2023-03-31,Paracetamol_500mg,72,1,0
2023-04-01,Paracetamol_500mg,77,1,0
2023-04-02,Paracetamol_500mg,61,1,0
2023-04-03,Paracetamol_500mg,76,1,0
2023-04-04,Paracetamol_500mg,101,1,0
2023-04-05,Paracetamol_500mg,70,0,0
2023-04-06,Paracetamol_500mg,73,0,0
2023-04-07,Paracetamol_500mg,69,0,0
2023-04-08,Paracetamol_500mg,61,0,0
2023-04-09,Paracetamol_500mg,72,0,0
2023-04-10,Paracetamol_500mg,70,0,0
2023-04-11,Paracetamol_500mg,69,0,0
2023-04-12,Paracetamol_500mg,78,0,0
2023-04-13,Paracetamol_500mg,77,0,0
2023-04-14,Paracetamol_500mg,61,0,0
2023-04-15,Paracetamol_500mg,55,0,0
2023-04-16,Paracetamol_500mg,63,0,0
2023-04-17,Paracetamol_500mg,65,0,0
2023-04-18,Paracetamol_500mg,71,0,0
2023-04-19,Paracetamol_500mg,79,0,0
2023-04-20,Paracetamol_500mg,69,0,0
2023-04-21,Paracetamol_500mg,68,0,0
2023-04-22,Paracetamol_500mg,72,0,0
2023-04-23,Paracetamol_500mg,71,0,0
2023-04-24,Paracetamol_500mg,61,0,0
2023-04-25,Paracetamol_500mg,75,0,0
2023-04-26,Paracetamol_500mg,70,0,0
2023-04-27,Paracetamol_500mg,77,0,0
2023-04-28,Paracetamol_500mg,54,0,0
2023-04-29,Paracetamol_500mg,49,0,0
2023-04-30,Paracetamol_500mg,68,0,0
2023-05-01,Paracetamol_500mg,61,0,0
2023-05-02,Paracetamol_500mg,72,0,0
2023-05-03,Paracetamol_500mg,68,0,0
2023-05-04,Paracetamol_500mg,77,0,0
2023-05-05,Paracetamol_500mg,60,0,0
2023-05-06,Paracetamol_500mg,54,0,0
2023-05-07,Paracetamol_500mg,68,0,0
2023-05-08,Paracetamol_500mg,58,0,0
2023-05-09,Paracetamol_500mg,81,0,0
2023-05-10,Paracetamol_500mg,73,0,0
2023-05-11,Paracetamol_500mg,80,1,0
2023-05-12,Paracetamol_500mg,74,1,0
2023-05-13,Paracetamol_500mg,80,1,0
2023-05-14,Paracetamol_500mg,81,1,0
2023-05-15,Paracetamol_500mg,84,1,0
2023-05-16,Paracetamol_500mg,104,1,0
2023-05-17,Paracetamol_500mg,93,1,0
2023-05-18,Paracetamol_500mg,59,0,0
2023-05-19,Paracetamol_500mg,69,0,0
2023-05-20,Paracetamol_500mg,61,0,0
2023-05-21,Paracetamol_500mg,65,0,0
2023-05-22,Paracetamol_500mg,63,0,0
2023-05-23,Paracetamol_500mg,76,0,0
2023-05-24,Paracetamol_500mg,65,0,0
2023-05-25,Paracetamol_500mg,65,0,0
2023-05-26,Paracetamol_500mg,75,0,0
2023-05-27,Paracetamol_500mg,59,0,0
2023-05-28,Paracetamol_500mg,55,0,0
2023-05-29,Paracetamol_500mg,72,0,0
2023-05-30,Paracetamol_500mg,76,0,0
2023-05-31,Paracetamol_500mg,71,0,0
2023-06-01,Paracetamol_500mg,63,0,0
2023-06-02,Paracetamol_500mg,68,0,0
2023-06-03,Paracetamol_500mg,63,0,0
2023-06-04,Paracetamol_500mg,74,0,0
2023-06-05,Paracetamol_500mg,68,0,0
2023-06-06,Paracetamol_500mg,60,0,0
2023-06-07,Paracetamol_500mg,80,0,0
2023-06-08,Paracetamol_500mg,66,0,0
2023-06-09,Paracetamol_500mg,66,0,0
2023-06-10,Paracetamol_500mg,60,0,0
2023-06-11,Paracetamol_500mg,65,0,0
2023-06-12,Paracetamol_500mg,63,0,0
2023-06-13,Paracetamol_500mg,66,0,0
2023-06-14,Paracetamol_500mg,79,0,0
2023-06-15,Paracetamol_500mg,77,0,0
2023-06-16,Paracetamol_500mg,89,1,0
2023-06-17,Paracetamol_500mg,69,1,0
2023-06-18,Paracetamol_500mg,67,1,0
2023-06-19,Paracetamol_500mg,82,1,0
2023-06-20,Paracetamol_500mg,86,1,0
2023-06-21,Paracetamol_500mg,81,1,0
2023-06-22,Paracetamol_500mg,85,1,0
2023-06-23,Paracetamol_500mg,89,1,0
2023-06-24,Paracetamol_500mg,79,1,0
2023-06-25,Paracetamol_500mg,90,1,0
2023-06-26,Paracetamol_500mg,93,1,0
2023-06-27,Paracetamol_500mg,92,1,0
2023-06-28,Paracetamol_500mg,77,1,0
2023-06-29,Paracetamol_500mg,73,1,0
2023-06-30,Paracetamol_500mg,72,1,0
2023-07-01,Paracetamol_500mg,73,1,0
2023-07-02,Paracetamol_500mg,62,0,0
2023-07-03,Paracetamol_500mg,62,0,0
2023-07-04,Paracetamol_500mg,60,0,0
2023-07-05,Paracetamol_500mg,75,0,0
2023-07-06,Paracetamol_500mg,77,0,0
2023-07-07,Paracetamol_500mg,89,1,0
2023-07-08,Paracetamol_500mg,73,1,0
2023-07-09,Paracetamol_500mg,86,1,0
2023-07-10,Paracetamol_500mg,61,1,0
2023-07-11,Paracetamol_500mg,84,1,0
2023-07-12,Paracetamol_500mg,97,1,0
2023-07-13,Paracetamol_500mg,83,1,0
2023-07-14,Paracetamol_500mg,80,1,0
2023-07-15,Paracetamol_500mg,78,1,0
2023-07-16,Paracetamol_500mg,72,1,0
2023-07-17,Paracetamol_500mg,73,0,0
2023-07-18,Paracetamol_500mg,65,0,0
2023-07-19,Paracetamol_500mg,69,0,0
2023-07-20,Paracetamol_500mg,59,0,0
2023-07-21,Paracetamol_500mg,49,0,0
2023-07-22,Paracetamol_500mg,72,0,0
2023-07-23,Paracetamol_500mg,61,0,0
2023-07-24,Paracetamol_500mg,63,0,0
2023-07-25,Paracetamol_500mg,68,0,0
2023-07-26,Paracetamol_500mg,56,0,0
2023-07-27,Paracetamol_500mg,79,0,0
2023-07-28,Paracetamol_500mg,59,0,0
2023-07-29,Paracetamol_500mg,49,0,0
2023-07-30,Paracetamol_500mg,65,0,0
2023-07-31,Paracetamol_500mg,69,0,0
2023-08-01,Paracetamol_500mg,60,0,0
2023-08-02,Paracetamol_500mg,62,0,0
2023-08-03,Paracetamol_500mg,64,0,0
2023-08-04,Paracetamol_500mg,60,0,0
2023-08-05,Paracetamol_500mg,67,0,0
